NO_OF_FRAMES	5000
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-09-17, 16:37:20.571	428377.36681510
DATA_INCLUDED	3D
MARKER_NAMES	1	2
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	1 X	1 Y	1 Z	2 X	2 Y	2 Z	
94	0.18600	298.451	0.001	403.700	0.000	0.000	0.000
95	0.18800	298.418	0.000	403.699	0.000	0.000	0.000
96	0.19000	298.394	0.000	403.711	0.000	0.000	0.000
97	0.19200	298.352	-0.001	403.722	0.000	0.000	0.000
98	0.19400	298.327	-0.001	403.733	0.000	0.000	0.000
99	0.19600	298.278	0.005	403.732	0.000	0.000	0.000
100	0.19800	298.245	-0.002	403.731	0.000	0.000	0.000
101	0.20000	298.220	-0.003	403.743	0.000	0.000	0.000
102	0.20200	298.196	-0.010	403.730	0.000	0.000	0.000
103	0.20400	298.147	-0.018	403.728	0.000	0.000	0.000
104	0.20600	298.130	-0.018	403.728	0.000	0.000	0.000
105	0.20800	298.097	-0.019	403.728	0.000	0.000	0.000
106	0.21000	298.073	-0.033	403.740	0.000	0.000	0.000
107	0.21200	298.048	-0.034	403.727	0.000	0.000	0.000
108	0.21400	298.007	-0.035	403.714	0.000	0.000	0.000
109	0.21600	297.991	-0.035	403.714	0.000	0.000	0.000
110	0.21800	297.958	-0.042	403.714	0.000	0.000	0.000
111	0.22000	297.926	-0.043	403.688	0.000	0.000	0.000
112	0.22200	297.901	-0.044	403.700	0.000	0.000	0.000
113	0.22400	297.876	-0.051	403.687	0.000	0.000	0.000
114	0.22600	297.844	-0.052	403.687	0.000	0.000	0.000
115	0.22800	297.827	-0.045	403.686	0.000	0.000	0.000
116	0.23000	297.794	-0.039	403.685	0.000	0.000	0.000
117	0.23200	297.769	-0.046	403.672	0.000	0.000	0.000
118	0.23400	297.753	-0.040	403.672	0.000	0.000	0.000
119	0.23600	297.728	-0.040	403.684	0.000	0.000	0.000
120	0.23800	297.695	-0.041	403.683	0.000	0.000	0.000
121	0.24000	297.679	-0.041	403.683	0.000	0.000	0.000
122	0.24200	297.654	-0.048	403.695	0.000	0.000	0.000
123	0.24400	297.630	-0.049	403.683	0.000	0.000	0.000
124	0.24600	297.597	-0.057	403.682	0.000	0.000	0.000
125	0.24800	297.564	-0.057	403.682	0.000	0.000	0.000
126	0.25000	297.540	-0.065	403.669	0.000	0.000	0.000
127	0.25200	297.515	-0.065	403.681	0.000	0.000	0.000
128	0.25400	297.482	-0.073	403.681	0.000	0.000	0.000
129	0.25600	297.449	-0.087	403.705	0.000	0.000	0.000
130	0.25800	297.417	-0.094	403.705	0.000	0.000	0.000
131	0.26000	297.367	-0.102	403.704	0.000	0.000	0.000
132	0.26200	297.343	-0.109	403.716	0.000	0.000	0.000
133	0.26400	297.310	-0.117	403.715	0.000	0.000	0.000
134	0.26600	297.277	-0.124	403.715	0.000	0.000	0.000
135	0.26800	297.236	-0.132	403.726	0.000	0.000	0.000
136	0.27000	297.212	-0.139	403.738	0.000	0.000	0.000
137	0.27200	297.179	-0.140	403.737	0.000	0.000	0.000
138	0.27400	297.147	-0.168	403.738	0.000	0.000	0.000
139	0.27600	297.122	-0.175	403.750	0.000	0.000	0.000
140	0.27800	297.089	-0.183	403.749	0.000	0.000	0.000
141	0.28000	297.057	-0.190	403.748	0.000	0.000	0.000
142	0.28200	297.040	-0.190	403.748	0.000	0.000	0.000
143	0.28400	297.007	-0.198	403.748	0.000	0.000	0.000
144	0.28600	296.975	-0.199	403.748	0.000	0.000	0.000
145	0.28800	296.950	-0.199	403.735	0.000	0.000	0.000
146	0.29000	296.925	-0.200	403.747	0.000	0.000	0.000
147	0.29200	296.901	-0.214	403.734	0.000	0.000	0.000
148	0.29400	296.877	-0.214	403.721	0.000	0.000	0.000
149	0.29600	296.844	-0.215	403.721	0.000	0.000	0.000
150	0.29800	296.827	-0.215	403.720	0.000	0.000	0.000
151	0.30000	296.794	-0.216	403.720	0.000	0.000	0.000
152	0.30200	296.778	-0.216	403.720	0.000	0.000	0.000
153	0.30400	296.753	-0.217	403.707	0.000	0.000	0.000
154	0.30600	296.729	-0.217	403.693	0.000	0.000	0.000
155	0.30800	296.704	-0.218	403.705	0.000	0.000	0.000
156	0.31000	296.679	-0.218	403.692	0.000	0.000	0.000
157	0.31200	296.646	-0.212	403.692	0.000	0.000	0.000
158	0.31400	296.622	-0.226	403.704	0.000	0.000	0.000
159	0.31600	296.597	-0.227	403.691	0.000	0.000	0.000
160	0.31800	296.565	-0.228	403.691	0.000	0.000	0.000
161	0.32000	296.532	-0.235	403.691	0.000	0.000	0.000
162	0.32200	296.515	-0.228	403.690	0.000	0.000	0.000
163	0.32400	296.466	-0.243	403.690	0.000	0.000	0.000
164	0.32600	296.441	-0.244	403.702	0.000	0.000	0.000
165	0.32800	296.409	-0.251	403.701	0.000	0.000	0.000
166	0.33000	296.368	-0.259	403.713	0.000	0.000	0.000
167	0.33200	296.335	-0.259	403.712	0.000	0.000	0.000
168	0.33400	296.302	-0.267	403.711	0.000	0.000	0.000
169	0.33600	296.268	-0.260	403.735	0.000	0.000	0.000
170	0.33800	296.219	-0.268	403.734	0.000	0.000	0.000
171	0.34000	296.195	-0.269	403.720	0.000	0.000	0.000
172	0.34200	296.153	-0.263	403.732	0.000	0.000	0.000
173	0.34400	296.120	-0.270	403.731	0.000	0.000	0.000
174	0.34600	296.095	-0.264	403.743	0.000	0.000	0.000
175	0.34800	296.071	-0.264	403.729	0.000	0.000	0.000
176	0.35000	296.037	-0.251	403.729	0.000	0.000	0.000
177	0.35200	295.996	-0.259	403.741	0.000	0.000	0.000
178	0.35400	295.972	-0.259	403.728	0.000	0.000	0.000
179	0.35600	295.947	-0.260	403.740	0.000	0.000	0.000
180	0.35800	295.914	-0.260	403.739	0.000	0.000	0.000
181	0.36000	295.890	-0.261	403.726	0.000	0.000	0.000
182	0.36200	295.865	-0.261	403.714	0.000	0.000	0.000
183	0.36400	295.840	-0.262	403.726	0.000	0.000	0.000
